Issue Type,Summary,Description,Status,Priority,Labels,Assignee,Created,Updated,Issue Key
Story,"Improve database migration deployment process to prevent errors and missed migrations","--- name: Database Migration Process Improvement about: Improve the error-prone manual migration process title: 'Improve database migration deployment process to prevent errors and missed migrations' labels: ['enhancement', 'database', 'devops', 'priority-high'] assignees: '' --- ## Problem Description The current database migration process is error-prone and requires manual tracking of multiple SQL files: 1. **Manual Migration Tracking**: Developer must manually identify which migration files exist for a feature 2. **Multiple Files Per Feature**: A single feature can require multiple migration files (e.g., `add_dynamic_genre_system.sql` + `add_genre_requests.sql`) 3. **No Migration State Tracking**: No automated way to know which migrations have been applied 4. **Error-Prone Deployment**: Easy to miss migrations or apply them in wrong order 5. **Manual GitHub Actions**: Must manually enter migration filenames in workflow dispatch ## Current Problematic Workflow 1. Developer creates feature with multiple migration files 2. During deployment, must remember all migration files that need to be applied 3. Must manually run GitHub Actions workflow for each file individually 4. Easy to miss migrations leading to runtime errors like ""no such column"" ## Proposed Solutions ### Option 1: Single Migration Per Feature - Combine all migrations for a feature into a single file - Naming convention: `YYYYMMDD_feature-name.sql` ### Option 2: Automated Migration Runner - Create a migration tracking table in the database - Script that automatically applies all pending migrations in order - Add migration status tracking and rollback capabilities ### Option 3: Enhanced GitHub Actions Workflow - Automatically detect new migration files since last deployment - Apply all pending migrations in a single workflow run - Better error handling and rollback on failure ## Acceptance Criteria - [ ] Developer should not need to manually track migration files - [ ] Single deployment action should apply all necessary migrations - [ ] System should prevent applying migrations out of order - [ ] Clear error messages when migrations fail - [ ] Ability to see migration status/history ## Impact **Priority: High** - Current process already caused deployment issues and runtime errors ## Additional Context Recent example: Genre management feature required two migrations but only one was applied, causing ""no such column: bg.assigned_by"" error in staging.",Done,High,"enhancement",,2025-08-10,2025-08-18,GH-236
Story,"Add Book Bugs","Logged in as admin with access to three locations (home, office, and community library) but when I add a new book and choose the shelf I'm seeing only shelves from one location (community library). If ""Enhanced search"" searches Google Books and OpenLibrary, what is searched when the search is not enhanced? What determines whether genres, categories, whatever from Google Books or Open Library are either added or suggested as genres? Is it one or the other, can it be both?",Done,Medium,"",,2025-08-10,2025-08-11,GH-233
Story,"Genre editing persistence bug - genres disappear after page reload","## Bug Description When editing genres on existing books, selected genres appear in the UI but disappear after page reload. The genre assignments are not persisting to the database. ## Steps to Reproduce 1. Go to an existing book and click the genre edit button 2. Select/add new genres using the genre selector 3. Click ""Update Genres"" 4. Reload the page 5. **Expected**: Genres should persist 6. **Actual**: Genres disappear, changes are not saved ## Root Cause Analysis This was a complex bug with multiple contributing factors: 1. **API Path Mismatch**: Client called `/books/{id}/genres`, worker expected `/api/books/{id}/genres` 2. **Request Body Format Mismatch**: Client sent `{ genres: [...] }`, worker expected `{ genreIds: [...] }` 3. **Route Ordering Issue**: General `path.startsWith('/api/books/')` route matched before specific genre endpoints 4. **URL Parsing Error**: `bookId` parsed from wrong position in URL path (getting ""genres"" instead of the book ID) ## Solution - ✅ Updated genre API endpoints to use correct `/api/books/*` path pattern - ✅ Fixed client to send `{ genreIds: genres.map(genre => genre.id) }` - ✅ Moved genre endpoints before general book PUT/DELETE routes - ✅ Fixed URL path parsing to extract bookId from correct position ## Fix Branch `fix/genre-persistence-bug` ## Testing - [x] Genre editing now works correctly - [x] Genres persist after page reload - [x] No database constraint errors - [x] API calls succeed with proper routing",Done,Medium,"",,2025-08-08,2025-08-09,GH-232
Story,"filter chips and url collisions","WIth access to multiple locations, If I filter to a location and a shelf, the chips appear correctly and the URL updates to something like /library/home-library/programming-development But if I click ""clear all"" on the chips, they disappear and then it looks like the URL reloads and it adds the chips back",To Do,Medium,"",,2025-08-08,2025-08-10,GH-230
Story,"Genre List Admin","Investigate the best place to put this. The genre list we have in teh database that users can choose from when editing the genre of a book should be manageable by admins. The list we currently have is the ""Global Default"" and can be modified ONLY by superadmins. When superadmin modifys the ""Global Default"" genre list it will affect any location that is not using a modified location genre list. If location admins have permissions (add permission toggle for this) they can modify this list which becomes that LOCATION's genre list but does not affect the global list or any other locations. If the admin is has the ""modify genre"" permission in multiple locations, they should be able to indicate that their change should affect all their locations or just this one location.",Done,Medium,"",,2025-08-08,2025-08-10,GH-228
Story,"Improve ""Add Genre"" functionality","When editing genres on a book the process now is ""Select Genre > Click 'Add Genre' button > Repeat as needed > Click 'Update Genres' button"". This is great for adding multiple genres but usually you'll only be adding one and, for that, it's extra clicks for no reason. Instead, selecing a genre from the dropdown should immediately add it without the need of the ""Add Genre"" button at all. Also, let's get rid of the second confirmation alert window that opens after saving your changes. Maybe a little animation to draw attention to the appearance of the newly added genres in the book listing?",Done,Medium,"",,2025-08-08,2025-08-08,GH-224
Task,"Systematic ESLint cleanup after performance optimization deployment","## Overview After the successful deployment of performance optimizations (#35), we temporarily disabled ESLint during builds to prevent warnings from blocking deployment. This issue tracks the systematic cleanup of ESLint warnings to re-enable proper linting. ## Current Status - ✅ **Builds working**: Both GitHub Actions and Netlify builds complete successfully with `--no-lint` - ✅ **Functionality intact**: All features working properly in staging - ❌ **Linting disabled**: Using `--no-lint` flag in builds (not ideal long-term) ## Warning Categories & Risk Assessment ### 🟢 Low Risk (~80% of warnings) - Safe for bulk fixes - **Unused variables/imports** (`@typescript-eslint/no-unused-vars`) - Examples: `'MenuBook' is defined but never used`, `'_error' is defined but never used` - Fix: Remove unused imports and variables - **React entity escaping** (`react/no-unescaped-entities`) - Examples: `'` can be escaped with `&apos;` - Fix: Replace unescaped quotes with HTML entities - **Next.js img elements** (`@next/next/no-img-element`) - Fix: Replace `<img>` with Next.js `<Image />` component ### 🟡 Medium Risk (~15% of warnings) - Needs careful review - **Missing useEffect dependencies** (`react-hooks/exhaustive-deps`) - Examples: `'loadAnalytics' missing from dependency array` - Fix: Add missing dependencies OR disable rule if intentional - ⚠️ **Test each change** to avoid infinite loops - **Remaining `any` types** (`@typescript-eslint/no-explicit-any`) - Mostly in admin components - Fix: Add proper TypeScript interfaces where possible ### 🔴 Higher Risk (~5% of warnings) - Handle carefully - **NextAuth route handlers** with necessary `any` types - May need to stay as `any` due to NextAuth's typing requirements - Consider selective rule disabling instead of fixing ## Implementation Plan ### Phase 1: Low-Risk Bulk Fixes (2-3 hours) - [ ] Remove all unused imports and variables - [ ] Fix React entity escaping across all components - [ ] Replace `<img>` tags with Next.js `<Image />` components - [ ] Test build locally after each category ### Phase 2: Medium-Risk Targeted Fixes (4-5 hours) - [ ] **Admin Components** - [ ] `AdminAnalytics.tsx` - Add proper types, fix useEffect deps - [ ] `AdminDashboard.tsx` - Remove unused vars, fix useEffect deps - [ ] `AdminUserManager.tsx` - Replace `any` types with proper interfaces - [ ] `LocationManager.tsx` - Fix useEffect dependencies - [ ] **Auth Components** - [ ] `PasskeyManager.tsx` - Fix useEffect deps, remove unused imports - [ ] `TwoFactorSetup.tsx` - Replace img with Image component - [ ] **Book Components** - [ ] `AddBooks.tsx` - Fix useEffect deps, replace `any` types ### Phase 3: Selective Rule Management (1-2 hours) - [ ] Evaluate remaining NextAuth `any` types - [ ] Add selective ESLint rule disabling where appropriate: ```json { ""rules"": { ""@typescript-eslint/no-explicit-any"": ""warn"" } } ``` - [ ] Re-enable linting in build workflows: - [ ] Update `.github/workflows/deploy-staging-enhanced.yml` - [ ] Update `netlify.toml` ## Testing Strategy For each phase: 1. Fix warnings in batches by file/component 2. Run `npm run lint` to verify fixes 3. Run `npm run build` to ensure no build errors 4. Test affected functionality locally 5. Deploy to staging for verification ## Success Criteria - [ ] ESLint warnings reduced by >90% - [ ] Build processes re-enabled with full linting - [ ] All functionality continues to work properly - [ ] No new performance regressions introduced ## Files Most Affected Based on current warnings, prioritize these files: - `src/components/admin/AdminAnalytics.tsx` - `src/components/admin/AdminDashboard.tsx` - `src/components/admin/AdminUserManager.tsx` - `src/components/admin/LocationManager.tsx` - `src/components/auth/PasskeyManager.tsx` - `src/components/auth/TwoFactorSetup.tsx` - `src/app/api/auth/[...nextauth]/route.ts` ## Alternative Approach If systematic fixing proves too time-consuming, consider: 1. Configure ESLint to treat warnings as warnings (not errors) 2. Set up pre-commit hooks to prevent new warnings 3. Gradually fix warnings over multiple sprints ## Related Issues - #35 Performance optimization implementation (completed) - Future: TypeScript strict mode enablement - Future: Code quality improvements --- **Priority**: Medium (technical debt, not blocking functionality) **Effort**: ~8-10 hours total across 3 phases **Risk**: Low (mostly cosmetic fixes with some behavioral testing needed)",To Do,High,"",,2025-08-07,2025-08-07,GH-223
Task,"Fix Puppeteer test automation for bulk add books modal (with summary text styling fix)","## Problem Summary Originally reported as a styling issue where summary text appeared as white text on white background in the bulk add books modal, making it unreadable. However, this evolved into a comprehensive **Puppeteer test automation project** that resolved multiple technical challenges while fixing the original styling issue as a test case. ## Original Issue ![Original Issue](https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNnY0Q2c9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e5e723c8e7bcbf5f7984e4ed425b7cbc7c68c979/image.png) ## Comprehensive Solution Delivered ### 🎯 **Primary Achievement: End-to-End Test Automation** Built complete Puppeteer test automation for the bulk add books workflow, including: 1. **Server Management**: Automatic dev server and worker startup/cleanup 2. **Authentication Flow**: Complete signin automation with environment variables 3. **Permission Handling**: Resolved superadmin permission issues requiring both servers 4. **UI Navigation**: Complex workflow automation (search → select → cart → modal) 5. **Infrastructure Issues**: Removed TanStack DevTools interference 6. **Coordinate-Based Clicking**: Solved floating cart button accessibility ### 🛠️ **Technical Fixes Implemented** #### Styling Fix (Original Issue) - **File**: `src/components/modals/BulkReviewModal.tsx:233` - **Change**: `color=""text.primary""` → `sx={{ color: '#333' }}` - **Reason**: Material-UI theme was resolving `text.primary` to white text #### Infrastructure Improvements - **Removed TanStack DevTools**: Uninstalled `@tanstack/react-query-devtools` package and cleaned up `src/app/providers.tsx` - **Server Architecture**: Documented requirement for both Next.js dev server AND worker for proper permissions - **Test Template**: Created reusable `testing/test-template.js` for future test development ### 🎯 **Final Result - Complete Success** ![Fixed Bulk Modal](https://github.com/user-attachments/assets/bulk-modal-fixed-screenshot.png) ✅ **Automation Working**: Full end-to-end test successfully navigates the complex bulk add workflow ✅ **Styling Fixed**: Summary text now clearly visible with proper contrast (#333 on grey.100 background) ✅ **Infrastructure Solid**: Reliable test framework for future development ✅ **Documentation Complete**: Comprehensive test template for team use ### 🚀 **Deliverables** 1. **Fixed UI**: Bulk modal summary text now has proper contrast 2. **Test Automation**: Complete Puppeteer test suite (`testing/test-bulk-modal.js`) 3. **Reusable Template**: Generalized test template (`testing/test-template.js`) 4. **Infrastructure**: Clean development environment without DevTools interference 5. **Documentation**: Detailed test setup and troubleshooting knowledge This issue represents a comprehensive **testing infrastructure improvement** that used the summary text styling as a practical test case, delivering both the fix and robust automation capabilities for the team. <img width=""702"" src=""https://api.zenhub.com/attachedFiles/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBN3dSQ3c9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--726bf03cc9fa4b32f02ec8ce2f81ebb8f818bf1a/bulk-modal_2025-08-15_13-56-50-333Z.png"" alt=""bulk-modal_2025-08-15_13-56-50-333Z.png"" />",Done,Low,"",,2025-08-06,2025-08-15,GH-216
Story,"Timing of book cover change animation","There is a transition animation when a new book cover is selected. Right now it seems to wait until the new cover is loading, but can we have it start immediatly when the cover selection modal closes? It takes long enough now that it feels like it hasn't worked and giving immediate feedback that the cover is changing would help that.",Done,Medium,"",,2025-08-06,2025-08-06,GH-208
Bug,"Genre filter issue","In the Genre filter dropdown, I'm only seeing genres that I've explicitly added to books either while adding them or by ""edit genres."" But I should see any genre that I see in the book listings as a genre ""chip"" (not everything that appears in the ""more details"" modal for each book).",Done,Medium,"bug",tim-arnold,2025-08-05,2025-08-06,GH-199
Story,"Fix GitHub Actions deployment type redundancy and logic","## Problem The current ""Deploy to Production (Enhanced Safety)"" GitHub Actions workflow has two critical issues: ### 1. Deployment Type Redundancy - **`database-migration`** and **`full-deployment`** are functionally identical (both deploy worker + database) - **`database-migration`** should only deploy database changes, not worker code - This creates confusion and doesn't provide the granular control needed for production deployments ### 2. **CRITICAL SECURITY ISSUE**: Branch Selection Allowed - The workflow currently allows deploying from ANY branch to production - This is a major security risk - production should ONLY deploy from `main` - The workflow should not prompt for branch selection at all ## Current Behavior **Deployment Types:** - `worker-only`: worker deployment only ✅ - `database-migration`: worker deployment + database migration (same as full\!) - `full-deployment`: worker deployment + database migration (same as database-migration\!) **Branch Selection:** ❌ Allows any branch (SECURITY RISK) ## Expected Behavior **Deployment Types:** - `worker-only`: Deploys worker code only (no database changes, no backup) - `database-migration`: Deploys database migration only (with backup, no worker deployment) - `full-deployment`: Deploys both worker code and database migration (with backup) **Branch Selection:** ✅ ONLY `main` branch, no user choice ## Changes Needed 1. **Fix `deploy-worker` job**: Only run for `worker-only` and `full-deployment` types 2. **Fix `deploy-database` job**: Handle skipped worker deployments properly 3. **Fix `post-deployment-verification`**: Run when at least one deployment succeeds 4. **CRITICAL: Restrict to `main` branch only**: Add branch restriction to workflow trigger 5. **Update conditional logic**: Prevent redundant worker deployments ## Files to Update - `.github/workflows/deploy-production-enhanced.yml` ## Acceptance Criteria - [ ] Workflow ONLY runs from `main` branch (no branch selection prompt) - [ ] `database-migration` only runs database migration (no worker deployment) - [ ] `full-deployment` runs both worker and database deployment - [ ] `worker-only` only runs worker deployment - [ ] All deployment types work correctly with proper job dependencies - [ ] Post-deployment verification runs appropriately for each type ## Security Impact **HIGH PRIORITY**: The branch selection issue is a critical security vulnerability that could allow accidental deployment of untested feature branch code to production.",Done,High,"enhancement",tim-arnold,2025-08-05,2025-08-05,GH-191
Task,"No build cache found. Please configure build caching for faster rebuilds.","",Done,Medium,"",,2025-08-05,2025-08-05,GH-190
Story,"Allow users to select a theme.","Currentl using a MUI purple theme. Create a dark green, dard red, and maybe 3-4 other colors and let users change betwen them in their Profile settings (alongside light and dark)",Done,Low,"",,2025-08-01,2025-08-13,GH-169
Story,"Validate that the main schema.sql file is accurate for the production D1 database","Also ensure that the current shema on staging and local matches that on production. If schema.sql is intended to be able to create a local environment than it needs to include all the tables that production and staging do. I feel like there is still a bi tof a disconnect between the DBs on all three envioronments.",Done,Medium,"",,2025-08-01,2025-08-15,GH-168
Story,"Documentation Cleanup and Modernization","## Summary Clean up and modernize project documentation to reflect current development practices and remove outdated references. ## Tasks Completed - [x] Archive old TODO.md file as TODO-ARCHIVE.md for historical reference - [x] Create new TODO.md that redirects to GitHub Issues - [x] Convert old unchecked TODO items to proper GitHub issues (#152-158) ## Additional Documentation Tasks - [ ] Review and update README.md for current project state - [ ] Update CLAUDE.md references to TODO.md system - [ ] Review other documentation files for outdated references - [ ] Ensure all documentation links are working - [ ] Update any references to the old TODO system ## Background The project has transitioned from using a TODO.md file to GitHub Issues for task management. This issue tracks the cleanup of documentation to reflect this change and ensure all docs are current. ## Acceptance Criteria - All documentation references are current and accurate - No broken links or outdated references - Clear direction for contributors on where to find active tasks - Historical information is preserved but clearly marked as archived",Done,Medium,"",,2025-07-30,2025-07-31,GH-159
Task,"Enhanced Admin Reporting and Analytics System","## Summary Expand the notification and reporting system with more detailed analytics and reporting features for admin users. ## Features to Implement - Detailed usage analytics and reporting - User activity reports and trends - Book circulation analytics - Location performance metrics - System health and performance monitoring - Export capabilities for reports (CSV, PDF) - Scheduled report delivery ## Technical Requirements - Extend existing analytics infrastructure - Create comprehensive reporting database queries - Build flexible report generation system - Implement data visualization components - Add report caching and optimization - Create export functionality - Add report scheduling system ## Background Listed in TODO.md under ""Future Admin Enhancements"" as a low priority item. ## Acceptance Criteria - Comprehensive analytics dashboard for admins - Reports provide actionable insights - Data visualization is clear and helpful - Export functionality works reliably - System performance is maintained - Reports can be scheduled and automated",To Do,Low,"",,2025-07-30,2025-07-30,GH-158
Story,"Configurable Admin Notification Preferences","## Summary Create a comprehensive notification preference system for admin users to control what notifications they receive and how. ## Features to Implement - Granular notification categories (user actions, system events, security alerts) - Multiple notification channels (email, in-app, SMS if desired) - Frequency controls (immediate, daily digest, weekly summary) - Priority-based notifications (critical, important, informational) - Notification history and read status tracking ## Technical Requirements - Create notification preferences database schema - Build admin preferences management UI - Implement notification delivery logic with preference checking - Create notification center component for in-app notifications - Add notification scheduling for digest modes - Ensure preferences are respected across all notification systems ## Background Listed in TODO.md under ""Future Admin Enhancements"" as a low priority item. ## Dependencies - Should be implemented alongside or after Issue #156 (Automated Email Notifications) ## Acceptance Criteria - Admins can configure detailed notification preferences - Preferences are consistently applied across all notification types - UI is intuitive and easy to use - Notification delivery respects user preferences - System handles preference changes gracefully",To Do,High,"",,2025-07-30,2025-07-30,GH-157
Story,"Automated Email Notification System for Admin Actions","## Summary Implement automated email notifications for various admin actions to improve communication and system transparency. ## Features to Implement - Email notifications for user registrations - Email notifications for location access grants/revocations - Email notifications for permission changes - Email notifications for book additions/removals - Email notifications for system maintenance events - Email notifications for genre suggestions/approvals/rejections - Configurable notification preferences ## Technical Requirements - Extend existing email system (Resend/Postmark integration) - Create email templates for various admin actions - Implement notification preference management - Add email queuing for batch operations - Ensure proper opt-out mechanisms - Add email delivery tracking ## Background Listed in TODO.md under ""Future Admin Enhancements"" as a low priority item. ## Acceptance Criteria - Admin actions trigger appropriate email notifications - Email templates are professional and informative - Users can configure their notification preferences - Email delivery is reliable with proper error handling - System performance is not impacted by email operations",Done,Low,"",tim-arnold,2025-07-30,2025-08-14,GH-156
Epic,"Advanced Admin Invitation Management APIs","## Summary Implement Phase 4 of the User Invitation System Refactoring - create new API endpoints for admin-level invitation management and analytics. ## Features to Implement - Admin-level invitation statistics and analytics - Cross-location invitation management APIs - Invitation performance metrics - Batch invitation operations via API - Advanced invitation filtering and querying ## Technical Requirements - Design new API endpoints for admin invitation management - Implement invitation analytics and reporting - Create batch operation endpoints - Add comprehensive filtering and search APIs - Ensure proper authentication and authorization - Add rate limiting for bulk operations ## Background Part of the incomplete User Invitation System Refactoring mentioned in TODO.md. This is Phase 4 of the planned refactoring. ## Dependencies - Should be implemented after Issue #154 (Global Invitation Overview Dashboard) ## Acceptance Criteria - New API endpoints are well-documented and tested - Analytics provide useful insights for admins - Batch operations are efficient and reliable - Proper error handling and validation - Integration with existing invitation system",To Do,Medium,"",,2025-07-30,2025-07-30,GH-155
Epic,"Global Invitation Overview Dashboard","## Summary Implement Phase 2 of the User Invitation System Refactoring - create a global invitation overview across all locations with filtering and search capabilities. ## Features to Implement - Global view of all invitations across all locations - Filter invitations by status (pending, accepted, expired) - Filter by location - Search by email or name - Sort by creation date, expiration, status - Bulk invitation management actions ## Technical Requirements - Create new API endpoints for cross-location invitation queries - Build comprehensive invitation dashboard component - Implement efficient filtering and search - Add pagination for large invitation lists - Ensure proper permission controls (super admins see all, regular admins see their locations) ## Background Part of the incomplete User Invitation System Refactoring mentioned in TODO.md. Phase 1 and 3 are complete, Phase 2 and 4 remain. ## Acceptance Criteria - Global invitation dashboard shows all relevant invitations - Filtering and search work efficiently - Proper permission boundaries are enforced - UI is responsive and user-friendly - Integrates with existing invitation management workflows",To Do,Low,"",,2025-07-30,2025-07-30,GH-154
Story,"Admin Bulk Actions System","## Summary Implement bulk action capabilities for admin users to improve efficiency when managing multiple items. ## Features to Implement - Bulk book approval system - Multi-user invitation system - Bulk user permission updates - Bulk location assignments - Batch operations with progress tracking ## Technical Requirements - Create bulk operation API endpoints - Implement UI components for multi-select operations - Add progress indicators for long-running operations - Ensure proper error handling for partial failures - Add confirmation dialogs for destructive bulk operations ## Background Currently mentioned in TODO.md as high priority item under ""Additional Admin Features"" ## Acceptance Criteria - Admins can select multiple items for bulk operations - Progress is clearly indicated during bulk operations - Partial failures are handled gracefully - Operations can be cancelled if needed - Clear feedback on operation results",To Do,High,"",tim-arnold,2025-07-30,2025-07-30,GH-153
Story,"Enhanced Admin Permission System - User Permission Granularity","## Summary Implement enhanced admin permission system to allow more granular control over user permissions within locations. ## Features to Implement - Allow admins to grant users permission to delete books - Allow admins to grant users permission to add/delete shelves - Expand user permission system beyond current basic permissions - Create UI for managing these granular permissions ## Technical Requirements - Update database schema for additional permission types - Modify permission checking functions throughout the application - Update admin interface to manage these permissions - Ensure backward compatibility with existing permission system ## Background Currently mentioned in TODO.md as high priority item under ""Additional Admin Features"" ## Acceptance Criteria - Admins can grant granular permissions to users - Users can only perform actions they have explicit permission for - UI clearly shows what permissions each user has - Permission changes take effect immediately",Done,High,"",tim-arnold,2025-07-30,2025-08-13,GH-152
Bug,"Location admin lacking ""manage location"" should NOT be able to delete locations!! And no regular admin should be able to create locations.","",Done,Medium,"bug",tim-arnold,2025-07-30,2025-07-31,GH-147
Task,"Fix location deletion foreign key constraint error","## Bug Description Location deletion fails with foreign key constraint error for locations that have permission/capability data. **Error**: `D1_ERROR: FOREIGN KEY constraint failed: SQLITE_CONSTRAINT` ## Affected Location - Anthony's Library (location ID 8) cannot be deleted - Other locations without permission data can be deleted successfully ## Root Cause The `deleteLocation` function in `workers/locations/index.ts` was missing cleanup of several tables that reference `location_id`: - `location_user_permissions` - `location_admin_capabilities` - `location_default_permissions` - `location_invitations` These tables were added in later migrations but the deletion function wasn't updated to handle them. ## Solution Update the deletion order in `deleteLocation` function to properly cascade delete all related data: 1. Books (reference shelves) 2. Shelves (reference locations) 3. Location permissions & capabilities ✅ **FIXED** 4. Location membership & invitations ✅ **FIXED** 5. Location itself ## Impact - **Severity**: Medium - affects admin functionality - **Scope**: Only locations with custom permissions/capabilities (newer locations) - **Workaround**: None - deletion completely blocked ## Testing After deployment, verify: - [ ] Anthony's Library can be deleted successfully - [ ] Other locations can still be deleted - [ ] No data orphaning occurs ## Implementation Notes - Fix already implemented in `workers/locations/index.ts` - Ready for production deployment via enhanced safety workflow - Uses proper SQL deletion order to respect foreign key constraints",Done,Low,"",,2025-07-30,2025-07-30,GH-137
Story,"Hide 'Create Location' button for users without super admin privileges","## Problem Currently, users without super admin privileges can see and click the 'Create Location' button, but they get an error 'Super admin privileges required to create locations' when they try to actually create a location. This creates a poor user experience. ## Expected Behavior The 'Create Location' button should only be visible to users with super admin privileges. ## Current Behavior - All users can see the 'Create Location' button - Regular admins get a permission error when trying to create locations - Only super admins can actually create locations successfully ## Solution Add a permission check in the frontend to hide the 'Create Location' button for users who don't have super admin privileges. This should check the user's role and only display the button if `user_role === 'super_admin'`. ## Technical Notes - Location creation requires super admin privileges (enforced in `workers/locations/index.ts`) - The frontend should check user permissions before showing UI elements - Consider adding this check to other super-admin-only features as well ## Priority Medium - UX improvement to prevent user confusion",Done,Medium,"enhancement",,2025-07-29,2025-07-30,GH-133
Task,"Critical: Implement Production Deployment Safety Enhancements","# 🚨 Critical: Implement Production Deployment Safety Enhancements ## Problem Statement Our current deployment workflow poses significant risk of catastrophic production damage through: - **Command Similarity**: `npx wrangler deploy --env=production` vs `--env=staging` (one typo = disaster) - **Manual Database Operations**: Direct production DB access without safeguards - **No Confirmation Gates**: Critical operations execute without verification - **Documentation Proliferation**: Production commands scattered across multiple files ## Risk Assessment **CRITICAL VULNERABILITIES:** - ❌ One character typo could deploy broken code to production - ❌ Database migrations can be accidentally run on production instead of staging - ❌ No rollback mechanisms for failed deployments - ❌ No audit trail for production operations - ❌ Multiple developers have direct production access **Potential Impact:** - User data loss/corruption - Extended service outages - Loss of user trust - Development velocity reduction ## Solution Overview Implementing 4-phase defense-in-depth strategy: ### Phase 1: Immediate CLI Safety (Week 1) 🛡️ - **Wrapper Scripts**: Require explicit confirmation for production operations - **Environment Validation**: Prevent accidental production commands - **Safe Package Scripts**: Replace dangerous direct commands ### Phase 2: Environment Isolation (Week 2) 🏰 - **Separate Cloudflare Account**: Physical production isolation - **Production-Specific Config**: Different command syntax required - **Automated Backups**: Mandatory backups before any production changes ### Phase 3: Deployment Pipeline Hardening (Week 3) 🔒 - **Remove Local Production Access**: GitHub Actions only - **Multi-Approval Gates**: Require 2+ administrator approvals - **Automated Staging Verification**: Must pass before production ### Phase 4: Documentation Security (Week 4) 📚 - **Remove Production Examples**: Clean up all documentation - **Secure Production Runbook**: Separate procedures for production - **Developer Safety Training**: Formal safety guidelines ## Implementation Checklist ### Phase 1 Tasks - [ ] Create `scripts/prod-deploy.js` with confirmation system - [ ] Create `scripts/prod-migrate.js` with backup/validation - [ ] Implement environment validation utility - [ ] Update package.json with safe script aliases - [ ] Add CLI safety documentation ### Phase 2 Tasks - [ ] Set up separate production Cloudflare account - [ ] Create production-specific `wrangler.prod.toml` - [ ] Implement automated backup system - [ ] Create backup verification procedures - [ ] Update deployment documentation ### Phase 3 Tasks - [ ] Enhance GitHub Actions with safety gates - [ ] Set up multi-approval environment protection - [ ] Remove production tokens from local environments - [ ] Create automated staging verification - [ ] Implement rollback automation ### Phase 4 Tasks - [ ] Audit and clean all documentation - [ ] Create secure production runbook - [ ] Develop safety training materials - [ ] Document emergency procedures - [ ] Conduct safety training ## Success Criteria ✅ **Zero Local Production Access**: No local environment can touch production ✅ **Multi-Layer Confirmation**: All production ops require multiple confirmations ✅ **Automated Backup**: All DB changes trigger automatic backups ✅ **Complete Audit Trail**: Log all production operations ✅ **5-Minute Rollback**: Emergency rollback capability ## Priority: CRITICAL This addresses fundamental infrastructure security. Should be prioritized above all feature work. ## Related Files - 📋 **Specification**: `docs/specs/production-safety-enhancement-spec.md` - ⚙️ **Current Config**: `wrangler.toml`, `package.json` - 🚀 **GitHub Actions**: `.github/workflows/deploy-*.yml` - 📖 **Documentation**: Various files with production commands ## Assignment Requesting assignment to infrastructure team for immediate implementation. **Estimated Effort**: 4 weeks (1 week per phase) **Risk Level**: Critical - addresses potential data loss scenarios **Dependencies**: None - can begin immediately --- **⚠️ Until this is implemented, all production operations should be treated as high-risk and require manual oversight.**",Done,High,"",,2025-07-29,2025-07-30,GH-132
Story,"Enhanced user management","1. In Admin > Users let's plan for lots of users and enable some sorting and searching for users. 2. Instead of ""Invitations"" button toggling open a new panel at the bottom of the page, let's put invitations and users in tabs. Or is that too many levels of tabs?",To Do,Medium,"",,2025-07-28,2025-07-28,GH-130
